Action Stock Horse Foal,Model Number,Name,Color,Release Dates,Released Through/Notes
Action Stock Horse Foal,1397,Fun Foals Collector's Event,"chestnut, black eyes, bicolor mane, chestnut tail, four stockings",2009,Treasure HuntJumping Horse and Wixom Prize - showing shade variation
Action Stock Horse Foal,1750,"ScooterWith blanket, bracelet","palomino pinto, white mane/tail,blaze,hind socks",2016-2017,"Also sold in #712979, Best Friends Gift Set"
Action Stock Horse Foal,1775,Van Gogh,"chestnut over pinto, solid legs, intricate blaze with kissing spots",2017-2019,
Action Stock Horse Foal,1775,Van Gogh,chestnut overo,2017-2019,Showing lighter variation and variation in pinto markings
Action Stock Horse Foal,410422,"3-pc. Traditional Spanish Horse FamilyWithAndalusian Stallion,Misty's Twilight","mahogany bay, star and stripe, black points, right fore and left hind socks",2007,JCPenneyHoliday Catalog
Action Stock Horse Foal,410703,"Kwahu and Alo,Great Spirit of the Mighty Eagle IIIWithRunning Stallion","bay pinto with bald eagles camouflaged in his markings, blaze covering muzzle, pink muzzle, four stockings",2003,JCPenneyHoliday CatalogWith Certificate of Authenticity
Action Stock Horse Foal,410703,"Kwahu and Alo,Great Spirit of the Mighty Eagle IIIWithRunning Stallion","light bay pinto with camouflage markings showing eagles, broad blaze, black points, high white stockings",2003,JCPenneyHoliday Catalogshowing set
Action Stock Horse Foal,410802,"Orion andZorian, Magical Unicorn SetWithBlack Beauty","pearly white with metallic gold mane, tail, horn and hooves",2002,JCPenneyHoliday Catalog
Action Stock Horse Foal,710297,Sundance and SkipperWithMisty's Twilight,"chestnut pinto, two-tone mane, white tail,blaze,  tan-grey hooves",1997,"JCPenneyHoliday Catalog(~3,000-6,000 made)With Certificate of Authenticity"
Action Stock Horse Foal,711621,Axle and SurreyWithLady Phase,"bay extended blanket, one sock",2023,"BreyerFestSpecial Run(1,150 made)Stamped ""BreyerFest 2023''"
Action Stock Horse Foal,712092,"Frisky Foals SetWithProud Arabian Foal,Running Foal,Suckling Foal","pale buckskin, chocolate brown mane, tail and legs, solid face",1992,"JCPenneyHoliday Catalog(3,000 made)"
Action Stock Horse Foal,712171,Rosie andBaileyWithLady Phasewith blue ribbon sticker,"red roan, slightly shaded lower legs",2016,"Vintage Club(500 made)With numbered Certificate of Authenticity booklet. ""2016 Vintage Club"" stamped on belly"
Action Stock Horse Foal,712459,"Breyer Traditional Collector's Family SetWithStock Horse Mare,Stock Horse Stallion","bay peppercorn Leopard Appaloosa, splatter spots, solid face, left hind and both front socks. Some with white right hind coronet",1986,JCPenneyHoliday Catalog
Action Stock Horse Foal,,"Collectible Stock Horse FamilyWithStock Horse Mare,Stock Horse Stallion","buckskin, solid face, black mane/tail, paler and creamier than #225, some with brownish-charcoal points. May be grey hoofed versions.",1984,SearsHoliday Catalog
Action Stock Horse Foal,,"Collectible Stock Horse FamilyWithStock Horse Mare,Stock Horse Stallion","pale buckskin,solid face, solid, dark brown/charcoal legs, mane and tail",1984,SearsHoliday CatalogShowing color variation
Action Stock Horse Foal,,PintoMare and Foal SetWithStock Horse Mare,"black pinto, solid face, four socks, black tail, white mane",1984-1985,JCPenneyHoliday Catalog
Action Stock Horse Foal,,StallionMare and Foal SetWithStock Horse Stallion,"bay, solid face, black lower legs and hooves, or three black legs and left hind sock over grey hoof",1984,JCPenneyHoliday Catalog(No mare was included with set)
Action Stock Horse Foal,,Bright Bay,bright bay,1996,BreyerFestLive Auction(1 made)
Action Stock Horse Foal,,Cocoa Brown and White Appaloosa,cocoa brown and white Appaloosa,1997,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Action Stock Horse Foal,,Action Stock Horse Foal,unpainted,?,
Mangalarga Marchador,Enzo,"chestnut sabino, high stockings",2019-2020,
Mangalarga Marchador,Glossy Enzo,glossy chestnut sabino,2019,Customer Appreciation Day(~157 made)(All CAD models are numbered 8224 by Breyer)
Mangalarga Marchador,Imperador das Aguas JM,light grey,2016,"BreyerFestCelebration Model(8,000 made)"
Mangalarga Marchador,Glossy Imperador das Aguas JM,glossy light grey,2016,"BreyerFestCostume Contest, Silent Auction,Chasing the ChesapeakeSilent Auction(40 made)With Certificate of Authenticity"
Mangalarga Marchador,Lamington,chestnut tobiano pinto,2021,True Blue Event(40 made)
Mangalarga Marchador,"Gold, Silver & Bronze Mangalarga Marchadors","gold, silver, bronze",2016,BreyerFestSilent Auction(1 set made)
Mangalarga Marchador,Glossy Dark Dapple Bay Tobiano Pinto Mangalarga Marchador (Mold #738),dark dappled bay tobiano,2017,BreyerFestLive Auction(1 made)
Adios,50,"Adios, Famous Standardbred","dark bay, tiny star, black points, two hind socks",1969-1973,
Adios,50,"Adios, Famous Standardbred","dark bay, tiny star, black points, two hind socks,chalky",1969-1973,
Adios,50,Adios Famous Standardbred,"dark bay, tiny star, black points, two hind socks",1971-1973,"Presentation CollectionAlso listed as #5050. Same as #50 above but mounted on American walnut wood base with brass ""Adios"" nameplate."
Adios,51,"""Yellow Mount,"" Famous Paint Horse","dark brown chestnut to medium reddish red chestnut overo with extensive bald face, left hind stocking",1970-1987,Early models have a white spot on off foreleg not present on later models.
Adios,51,"""Yellow Mount,"" Famous Paint Horse","dark brown chestnut to medium reddish red chestnut overo with extensive bald face, left hind stocking",1970-1987,Early models have a white spot on off foreleg not present on later models.Chalky.
Adios,51,"""Yellow Mount,"" Famous Paint Horse","dark brown chestnut to medium reddish red chestnut overo with extensive bald face, left hind stocking",~1970,"No ""USA"" mold stamp. With rare dorsal stripe."
Adios,51,"""Yellow Mount,"" Famous Paint Horse","dark brown chestnut to medium reddish red chestnut overo with extensive bald face, left hind stocking",1970-1987,
Adios,51,"Yellow Mount, Famous Paint Horse","dark brown chestnut to medium reddish red chestnut overo with extensive bald face, left hind stocking",1972-1973,"Presentation CollectionAlso listed as #5051. Same as regular run #51 above, but mounted on American walnut wood base with brass ""Yellow Mount"" nameplate."
Adios,51-1,Adios,"red chestnut, short blaze, dark chestnut mane/tail, right front and two hind stockings",1986,"Longhorn-Potts Leather(~1,000 made)Model may never have been released. 4 samples are believed to exist."
Adios,705,Standing Quarter Horse Stallion,"apricot dun, bald face, dark red dun mane and tail, dorsal stripe, four stockings",1988-1989,Some with light-dark blotchy pattern on mane and tail
Adios,720,Rimrock - The Horse Whisperer,"bay, diamond star and snip, left front and rear socks",1998-1999,
Adios,830,Quarter Horse Stallion,"blue roan, black points, black hooves",1990,
Adios,853,"""Mesa,"" The Quarter Horse","dark mahogany bay, black points, black hooves, no white",1991-1992,
Adios,885,"""Rough 'n Ready""  Quarter Horse","dun, dark red chestnut face with blaze, red chestnut points, two hind stockings",1993-1995,On some models the face (and sometimes the mane and tail as well) are dark chocolate instead of red chestnut.
Adios,911,"""Clayton"" Quarter Horse(1995-1995)""Clayton"" Quarter Horse(1996)","dappled palomino, four stockings, tan hooves",1995-1996,Some models have an all-white area over the nose. Color ranges from medium tan to chocolate tan.
Adios,981,"Best Tango, Quarter Horse","bay dun, solid face, dorsal stripe, black points, four stockings",1997,Models in first three months of release had tri-colored eyes.
Adios,1123,Dale Evans' Buttermilk,"creamy buckskin, chocolate points",2000-2003,Hollywood Heroes SeriesWith descriptive brochure and video. Color variations shown.
Adios,1201,Like A Diamond,"sorrel overo, full apron face, flaxen mane/tail",2003-2005,
Adios,1201G,Glossy Like a Diamond,"glossy sorrel overo, full apron face, flaxen mane/tail",2004,BreyerFestLive Show Prize(4 made)
Adios,1359,Tommie Turvey's PokerjoeWith DVD featuring The Riding Instructor,"bay pinto, white a\stockings, white tail, black mane",2008-2010,
Adios,1359G,Glossy Pokerjoe,"glossy bay pinto, white a\stockings, white tail, black mane",2009,BreyerFestLive Show Prize(4 made)
Adios,1442,"Abraham Lincoln's Horse ""Old Bob""","brownish bay, darker points",2012,Stamped ''Civil War Sesquicentennial on belly'' in gold.
Adios,1758,Cherry Creek Fonzie Merit,"black, black mane/tail, no white, grey hooves",2016-2017,"Also sold in #712983, Ultimate Gift Set"
Adios,3095,"Breyer Rider Gift SetWith yellow-tan rubbery western bridle and saddle, Breyer Rider doll","dusky tan palomino, solid face, lighter palomino mane/tail, four stockings",1976,Never officially released for sale; only a small number are known to exist. Some released without tack or rider.
Adios,5050,Adios Famous Standardbred,"dark bay, tiny star, black points, two hind socks",1971-1973,"Presentation CollectionAlso listed as #50. Same as regular run #50above but mounted on American walnut wood base with brass ""Adios"" nameplate."
Adios,5051,"Yellow Mount, Famous Paint Horse","dark brown chestnut to medium reddish red chestnut overo with extensive bald face, left hind stocking",1972-1973,"Presentation CollectionAlso listed as #51. Same as regular run #51above, but mounted on American walnut wood base with brass ""Yellow Mount"" nameplate."
Adios,5100,Yellow Mount,"dark brown chestnut to medium reddish red chestnut overo with extensive bald face, left hind stocking",1970-1972,"Showcase CollectionSold in clear plastic carrying case, but otherwise identical to #51"
Adios,90118,Silver Knight,"dapple grey, dark grey or black muzzle, white tail tip, numbered on bottom of hoof",2002,Connoisseur Series(350 made)With Certificate of Authenticity.
Adios,410151,Adios,"dapple grey, bald face, grey mane/tail, four stockings",1987,"Black Horse Ranch, other mail order retailers(1,000 made)"
Adios,410251,Adios,"light sorrel, bald face, flaxen mane/tail, four stockings",1987,"Black Horse Ranch, other mail order retailers(1,000 made)"
Adios,410385,American Quarter Horse 2-Piece SetWithLady Phase,"shaded dun, dorsal stripe, blaze, brown points, hind stockings",2005,JCPenneyHoliday Catalog
Adios,430040,Metallic Bay Adios Test Run,"metallic brown bay, blaze, four socks",2023,Test Piece Raffle Model(1 made)With Certificate of Authenticity
Adios,701799,Hollywood Gold,dunalino,2000,"Quarter Horse Outfitters(2,500 made)"
Adios,702002,Brandywine,red taffy,Aug-Dec 2002,Breyer Fall Show Special
Adios,707595,Mego,"palomino overo, white diamond brand on right hip, tricolor eyes, white mane/tail,",1995,"BreyerFestCelebration Model(~3,000 made)With Peter Stone signature and ""95"" on belly. Fewer than 100 also signed by owner George Taylor with a few of these also signed by Peter Stone. At least one known without brand on hip."
Adios,708298,Eureka,"buckskin pinto, white muzzle, black points, man panning for gold image within pinto pattern",1998,"West Coast Model Horse Collector's Jamboree(1,500 made)With hang tag"
Adios,708298,"Eureka, Judges' Model",same as above w/dorsal stripe,1998,West Coast Model Horse Collector's Jamboree(<75 made)
Adios,710693,"Breyer Three Generation Appaloosa SetWithPhantom Wings,Quarter Horse Yearling","bay blanket, blaze, black points, four stockings",1993,"JCPenneyHoliday Catalog(~ 3,000 made)"
Adios,711121,You Oughta Be in Pictures,"blue black roan pinto, hind stockings",2010,"BreyerFestRaffle Model, Live Auction Model(26 made)"
Adios,711186,Champagne Toast,"chestnut pinto, white stockings, chestnut and white mane/tail",2014,"BreyerFestSpecial Run(1,475 made)""BreyerFest 2014"" stamped on belly"
Adios,711186,Champagne Toast,"silver charm, pink hooves",2014,"BreyerFestSpecial Run(25 made)""BreyerFest 2014"" stamped on belly"
Adios,711338,Winner's Circle Autograph HorseWith pen,"smoky cream, grey points",2018,"BreyerFestStore Special(2,000 made)""BreyerFest 2018"" stamped on belly"
Adios,712033,Frappe,"silver dilute dun, blaze, dark grey knees and muzzle",2009,Web Special(250 made)With Certificate of Authenticity
Adios,712050,Cocoa Beach,"glossy chestnutStamped ""Limited Edition 2011"" on belly in gold lettering",2011,"Sunshine CelebrationSpecial Run(100 made)Stamped ""2011 Limited Edition"" in gold on belly."
Adios,712104,Amigo,"glossy charcoal, bald face, white mane/tail, stockings, blue ribbon",2014,"Vintage Collectors Club(500 made)""Vintage Collectors Club"" printed on belly. With numbered Certificate of Authenticity booklet."
Adios,712848,"Traditional Western Horse Collector SetWithFoundation Stallion,San Domingo","red dun semi-leopard, bald face, primitive bars on thighs and shoulders, dark red dun mane, tail white on top, dark red chestnut below, four stockings",1987,"JCPenneyHoliday Catalog(3,800 made)Some models with only two rear stockings."
Adios,,"Adios Famous StandardbredMounted on dark-stained hardwood base with beveled edges and brass ""Adios 1:57 1/2"" plate on front. Mounted aftermarket.","dark bay, tiny star, black points, two hind socks",1969 and 1981,"Delvin Miller, owner of the real Adios horse, sold these through magazines and other outlets"
Adios,,Adios,unpainted,1980,Just About HorsesVol VII #3
Adios,,Adios,"matte/semi-gloss black, some white stockings",mid 1980's,"Model Horse Congress, possible test or painted by Marney Walerius at the Breyer factory.(<15 probably made)"
Adios,,Adios,"buckskin, grey nose, black points, no white markings",1984,VaLes Bead Trailer; leftovers (probably) sold throughBlack Horse RanchandModel Horse Congress(100-200 made)
Adios,,Test Run,extended bay blanket,1987,Test Run(1 made)
Adios,,Test Run - Po-Ko-Dot,"grey extended blanket, black points",1988,Just About HorsesSept/Oct 1988Naming Contest prize(1 made)
Adios,,"Steel grey Adios, Test Run",,1990,BreyerFestLive Auction(1 made)
Adios,,Adios,gold with black points,1991,Test or OOAK piece
Adios,,Buckskin Pinto Yellow Mount,"buckskin overo, bald face, black points",1995,BreyerFestLive Auction(1 made)
Adios,,Grey Appaloosa Adios,grey leopard,1995,BreyerFestLive Auction(1 made)Model shown is from theBlack Horse RanchModel Horse Collection
Adios,,Dark Chestnut,dark chestnut,1996,BreyerFestLive Auction(1 made)
Adios,,"Black and White Pinto ""Mego""",black pinto,1996,BreyerFestLive Auction(1 made)
Adios,,Chestnut Leopard,"chestnut leopard, blaze, chestnut and white mane/tail",1997,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Adios,,Glossy Copenhagen Pinto,"glossy Copenhagen pinto, white points",1998,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Adios,,Medium Mahogany Adios,mahogany bay,2002,BreyerFestLive Auction(1 made)
Adios,,Glossy Dark Grullo Adios,"glossy dark grullo, foreleg socks, rear stockings",2005,BreyerFestLive Auction(1 made)
Adios,,Smutty Dappled Palomino Appaloosa with Striped Hooves,"palomino snowflake blanket, white mane/tail",2007,BreyerFestLive Auction(1 made)
Adios,,BlueRoan Overo Paint Adios,blue roan overo,2009,BreyerFestLive Auction(1 made)
Adios,,Softly shaded palominopintotobiano created on the Adios mold,"palomino tobiano, white mane/tail, stockings",2011,BreyerFestLive Auction(1 made)
Adios,,Blood bay pinto on the Adios mold (#50),"blood bay pinto, blaze",2014,BreyerFestLiveAuction(1 made)
Adios,,"Flaxen Chestnut Appaloosa on mold 50, the classic Adios",flaxen chestnut blanket,2017,BreyerFestLive Auction(1 made)
Adios,,Weston,bay blanket,2019,Live Show Benefit
Adios,,Adios,red bay,,Probable Test Model
Adios,,Adios,red bay,,Probable Test Model
Adios,,Adios,"chestnut, blaze, flaxen mane/tail, four stockings",,Probable Test Model
Marwari,1495,Marwari,palomino,2013-2015,
Marwari,1495,Glossy Marwari,glossy palomino,2014,BreyerFestOpen Show Sectional Champion(45 made)Utterly Horses Hullaballoo(3 made)
Marwari,1813,Khalid,matte and semi-glossy liver chestnut pinto,2019,"Brick and mortar stores only.(2,500 made)"
Marwari,1813,Glossy Khalid,glossy liver chestnut pinto,2020,"Customer Appreciation Event, Part 2"
Marwari,10124,Look What You Made Me Do,metallic chestnut tobiano,2024,BreyerFestCustoms Contest prize (6 made)
Marwari,90164,Kalahkaari,bay pinto,2012,Premiere Collection(741 made)With Certificate of Authenticity
Marwari,711222,Haute Couture,shaded black leopard,2015,"BreyerFestSpecial Run(1,200 made)With modified mane, tail, and ears. ""BreyerFest 2015"" stamped on belly"
Marwari,711253,Nazruddin,chestnut,2017,BreyerFestCelebration Model
Marwari,711253,Glossy Nazruddin,glossy chestnut,2017,"BreyerFestCostume Contest prize, Silent Auction"
Marwari,711476,Tassili,glossy coppery chestnut tobiano,2021,"BreyerFestSpecial Run(1,000 made)"
Marwari,711476,Tassili,glossy coppery chestnut tobiano,2021,"BreyerFestSpecial Run(1,000 made)With modified mane, tail, and ears."
Marwari,712114,Rajah,"dappled grey, dark dapple grey points, three stockings, not near foreleg",2014,Collector Clubweb special
Marwari,712444,Kalahari,"''African Wild Dog'', mottled black and brown with white markings",2023,"Wild Animal Series(750 made)""Wild Animal Series Limited Edition"" stamped on belly."
Marwari,712503,Mumbai,"dark bay sabino, mane and tail have yellow highlights",2024,"Web Special(600 made)Stamped ""Collector Club 2024"" on belly.Second in the Exotic Destinations Series"
Marwari,,Soft Palomino Pinto Marwari (mold #722),pale palomino tobiano,2013,BreyerFestLive Auction(1 made)
Marwari,,Mold No. 722 Marwari Bay Dun Pinto,"light bay tobiano, black mane/tail, four high stockings",2015,BreyerFestLive Auction(1 made)
Marwari,,Bronze Decorator Marwari on Mold No. 722,bronze,2016,BreyerFestLive Auction(1 made)
Marwari,,Marwari Bridegroom's Horse Costume with Test Model,glossy chalky white,2017,BreyerFestSilent Auction(1 made)
Marwari,,5th Century BC Greek Amphora-inspired Decorator on the Marwari mold (#722),bay decorator,2018,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Marwari,,Mold No. 722MarwariGlossy Dark Dapple Bay,glossy dark dappled bay,2019,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Marwari,1495,Marwari,palomino,2013-2015,
Marwari,1495,Glossy Marwari,glossy palomino,2014,BreyerFestOpen Show Sectional Champion(45 made)Utterly Horses Hullaballoo(3 made)
Marwari,1813,Khalid,matte and semi-glossy liver chestnut pinto,2019,"Brick and mortar stores only.(2,500 made)"
Marwari,1813,Glossy Khalid,glossy liver chestnut pinto,2020,"Customer Appreciation Event, Part 2"
Marwari,10124,Look What You Made Me Do,metallic chestnut tobiano,2024,BreyerFestCustoms Contest prize (6 made)
Marwari,90164,Kalahkaari,bay pinto,2012,Premiere Collection(741 made)With Certificate of Authenticity
Marwari,711222,Haute Couture,shaded black leopard,2015,"BreyerFestSpecial Run(1,200 made)With modified mane, tail, and ears. ""BreyerFest 2015"" stamped on belly"
Marwari,711253,Nazruddin,chestnut,2017,BreyerFestCelebration Model
Marwari,711253,Glossy Nazruddin,glossy chestnut,2017,"BreyerFestCostume Contest prize, Silent Auction"
Marwari,711476,Tassili,glossy coppery chestnut tobiano,2021,"BreyerFestSpecial Run(1,000 made)"
Marwari,711476,Tassili,glossy coppery chestnut tobiano,2021,"BreyerFestSpecial Run(1,000 made)With modified mane, tail, and ears."
Marwari,712114,Rajah,"dappled grey, dark dapple grey points, three stockings, not near foreleg",2014,Collector Clubweb special
Marwari,712444,Kalahari,"''African Wild Dog'', mottled black and brown with white markings",2023,"Wild Animal Series(750 made)""Wild Animal Series Limited Edition"" stamped on belly."
Marwari,712503,Mumbai,"dark bay sabino, mane and tail have yellow highlights",2024,"Web Special(600 made)Stamped ""Collector Club 2024"" on belly.Second in the Exotic Destinations Series"
Marwari,,Soft Palomino Pinto Marwari (mold #722),pale palomino tobiano,2013,BreyerFestLive Auction(1 made)
Marwari,,Mold No. 722 Marwari Bay Dun Pinto,"light bay tobiano, black mane/tail, four high stockings",2015,BreyerFestLive Auction(1 made)
Marwari,,Bronze Decorator Marwari on Mold No. 722,bronze,2016,BreyerFestLive Auction(1 made)
Marwari,,Marwari Bridegroom's Horse Costume with Test Model,glossy chalky white,2017,BreyerFestSilent Auction(1 made)
Marwari,,5th Century BC Greek Amphora-inspired Decorator on the Marwari mold (#722),bay decorator,2018,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Marwari,,Mold No. 722MarwariGlossy Dark Dapple Bay,glossy dark dappled bay,2019,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Teke Stallion,1861,Adamek,"bay, star, snip, four socks",2022-present,
Teke Stallion,1861,Adamek,"glossy bay, star, snip, four socks",2022,BreyerFestOpen Show Prize
Teke Stallion,90196,Altynai,"dappled buckskin sabino, blue eyes, faint dorsal stripe",2020,Premier Collection
Teke Stallion,711386,Fields of Heather,bay varnish blanket,2020,"BreyerFestRaffle, Live Auction(26 made)With Certificate of Authenticity. Stamped ""BreyerFest 2020"" on belly."
Teke Stallion,711401,Uffington,pearly cremello,2021,"BreyerFestSpecial Run(1,800 made)"
Teke Stallion,711401,Uffington,silver holographic decorator,2021,BreyerFestSpecial Run(200 made)
Teke Stallion,711613,Nemea,"orangey brown with a fiery mane, black tail and black decorative details",2023,"BreyerFestSpecial Run(2,200 made)Stamped ""BreyerFest 2023''"
Teke Stallion,,Glossy Black Bay w/ Custom Factory Roached Mane,"glossy black bay, stripe, four socks, custom factory roached mane",2021,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Midnight Tango,467,Midnight Tango,"black pinto, black and white mane/tail, off fore sock, hind stockings",2000-2001,With hang tag
Midnight Tango,1173,Boone's Little Buckeroo,"buckskin, shaded muzzle, solid face, black points",2002-2004,With hang tag
Midnight Tango,1180,Miniature Horse SetLTD's Red Cloud & Magic Man's Grand SlamWithMerrylegs,"red roan medicine hat, left eye blue, white mane/tail",2006-2008,
Midnight Tango,1424,"Pony Pep RallyWith cheerleader doll, megaphone,Mini Whinnie, horse blanket","chestnut, blaze down to pink muzzle, flaxen mane/tail, off fore and near hind socks",2010-2011,My Favorite Horsesseries
Midnight Tango,1711,Magic and Hamlet(Set of two),"chestnut, wide ""question mark"" blaze, flaxen mane/tail, shaded knees, hind socks",2014-2016,"Also sold in #712981, Ponies and More Gift Set"
Midnight Tango,1711,Magic and Hamlet(Set of two),"semigloss black, wide blaze over muzzle, black mane/tail, blue eye",2014-2016,"Also sold in #712981, Ponies and More Gift Set"
Midnight Tango,1812,GTR Patrick's Vindicator,"chestnut, blaze, near hind sock",2019-2020,
Midnight Tango,4116,My Dream Horse3-D Paint by Number Kit,unpainted,2004-2020,
Midnight Tango,301114,"Waiting For Santa Pony Gift SetWith doll, pony blanket, 2 Mini Whinnies horses, sleeping bag with pillow.","light grey, star, shaded muzzle, darker mane/tail, darker grey legs",2009,"QVC, other retailers"
Midnight Tango,430040,Black Pinto Miniature Horse Set,"black tobiano, black and white mane/tail, snip, front socks, hind stockings",2024,Test Piece (1 made) w/ COA
Alborozo,711108,Alborozo,"dappled grey, shaded muzzle, darker grey mane, light grey tail, shaded knees and hocks",2008,"BreyerFestCelebration Model(6,000 made)""2008 BreyerFest Celebration Horse"" stamped on belly"
Alborozo,711108G,Alborozo,"glossy dappled grey, shaded muzzle, darker grey mane, light grey tail, shaded knees and hocks",2008,"BreyerFestGlobal Gala Costume Contest(30 made)""2008 BreyerFest Celebration Horse"" stamped on belly. With Certificate of Authenticity."
Alborozo,711192,Alegria,"grullo, diamond, black points, off rear coronet",2014,BreyerFestEarly Bird Raffle Model(3 made)
Alborozo,711193,Plateado,crystal,2014,"BreyerFestStore Special(350 made)Approx. 5"" tall"
Alborozo,,Smutty Palomino,"smutty palomino, solid face, white mane/tail",2008,BreyerFestLive Auction(1 made)
Alborozo,,High gloss dappled bay,"glossy dappled bay, black points, off fore sock",2012,BreyerFestLive Auction(1 made)
Alborozo,,Mold No. 718AlborozoGlossy Sooty Dappled Buckskin Sabino Pinto,glossy sooty dappled buckskin sabino,2019,BreyerFestLive Auction(1 made)With Certificate of Authenticity
Missouri Fox Trotter,768,Missouri Fox Trotter,"shaded dark bay, black points, star and stripe, foreleg socks, green with yellow ribbons",1999-2001,
Missouri Fox Trotter,971,"Iron Metal Chief, Missouri Fox Trotter","matte or semigloss black, large star with connected stripe, pink or white snips on nose and lower lip, black mane/tail, bi-color eyes, blue ribbons with yellow, hind stockings",1997,"Limited Edition""Ltd. Edition '97"" mold stamp on belly. Variation known with no socks."
Missouri Fox Trotter,1172,"Southern Sunrise, Palomino Missouri Fox Trotter","palomino, flaxen mane/tail, shaded muzzle, purple with gold ribbons",2002-2003,Hall of Fame EditionWith hang tag.
Missouri Fox Trotter,1172G,"Glossy Southern Sunrise, Palomino Missouri Fox Trotter","glossy palomino, blaze, flaxen mane/tail, shaded muzzle, red with silver ribbons",2002,BreyerFestprize model(4 made)
Missouri Fox Trotter,1246,Double Trouble,"shaded bay tobiano, star, eye whites, black and white mane, black tail, four stockings, silver with blue ribbons",Jul-Dec 2005,Collectors ChoiceAlsoBreyerFestLive Show prize
Missouri Fox Trotter,1246G,Glossy Double Trouble,"glossy shaded bay tobiano, star, eye whites, black and white mane, black tail, four stockings, silver with blue ribbons",2005,"(2 confirmed, possibly others)"
Missouri Fox Trotter,1471,Prince Jester,"dark liver chestnut, blue with gold ribbons",2011-2012,
Missouri Fox Trotter,1471G,Prince Jester,"glossy dark liver chestnut, blue with gold ribbons",2012,Quarter Horse Congress Model Horse Show Judges Model(~7 made)
Missouri Fox Trotter,90114,Masquerade,"glossy black and white pearl pinto with hidden pictures in pattern, black and white mane/tail, silver with gold ribbons",2001,Connoisseur Series(350 made)With Certificate of Authenticity
Missouri Fox Trotter,301151,Maverick- Missouri Fox Trotter,"light bay, black points, near foreleg and off hind socks",2014,Tractor Supply Company
Missouri Fox Trotter,410433,"Traditional Series Three Piece SetWithBluegrass Bandit,Saddlebred Weanling","dappled grey, star, darker grey mane and knees, light grey tail, purple ribbons",2009,JCPenneyHoliday Catalog
Missouri Fox Trotter,430014,Missouri Fox Trotter - palomino,"palomino, white mane/tail, shaded muzzle, purple with gold ribbons",2014,Warehouse FindSame as #1172
